Team,Pts,+/-,WW,GP,AB,H,R,HR,RBI,SBN,AVG,OPS,IP,K,ERA,WHIP,K/BB,W+QS,NS
Luces de Buffalo,138.0,1.0,13,900,2360,580,300,87,305,41,0.246,0.73,599.1,596,2.91,1.123,3.45,81,64
AFRO,133.5,3.5,9,878,2500,661,353,107,367,39,0.264,0.783,433.0,462,3.51,1.206,3.16,50,33
DeGreat DeGraff,127.0,-2.5,10,844,2396,596,359,115,354,53,0.249,0.756,408.2,431,3.61,1.192,2.89,44,58
Stink Box Warriors,126.5,-3.5,14,824,2410,635,346,91,299,46,0.263,0.765,384.1,387,3.37,1.14,2.95,50,46
EVIL EMPIRE,126.0,6.5,7,848,2283,562,341,105,330,47,0.246,0.776,446.2,441,3.53,1.191,3.11,45,53
Shamrocks,117.0,-0.5,2,810,2267,602,342,72,281,48,0.266,0.765,479.0,519,3.49,1.228,3.09,48,45
Play 2,113.0,-2.5,1,887,2405,591,348,101,359,33,0.246,0.76,503.2,504,4.13,1.255,2.93,67,57
CowBoy,112.5,-2.0,8,904,2308,603,294,65,290,45,0.261,0.743,528.2,508,3.12,1.182,2.49,57,53
Old Man Power,110.0,-3.0,12,896,2581,642,334,92,352,36,0.249,0.736,433.0,399,3.49,1.203,2.96,46,49
Lollygaggers,79.5,2.0,3,738,2205,543,296,76,296,33,0.246,0.722,369.1,325,3.53,1.191,2.56,55,21
Gasparilla,78.0,2.5,15,894,2429,586,288,73,297,47,0.241,0.687,664.2,602,4.39,1.353,2.47,67,35
Murderers' Row,69.0,2.5,4,848,2424,563,283,83,303,26,0.232,0.699,460.2,454,3.71,1.222,2.77,45,38
Crash Silver,47.0,-1.0,5,472,1210,269,161,44,134,31,0.222,0.654,305.2,343,3.83,1.217,3.21,39,37
A to the Rizzo ⚾️,40.0,-1.0,6,674,1881,443,245,60,232,42,0.236,0.695,388.0,320,3.85,1.327,1.94,45,18
Larry LaLoosh,23.0,-2.0,11,591,1567,380,186,37,170,16,0.243,0.686,323.0,322,4.63,1.356,2.33,33,28
